storeId,name,location,review count,average rating,phone,workHours,category
10,Golden Dragon - Patra,Al. Ypsilantou 162 Patra 262 25,187.0,4.4,261 022 6226 +30 261 022 6226,Triti: [6:00 p.m.-1:00 a.m.] Tetarti: [6:00 p.m.-1:00 a.m.] Pempti: [6:00 p.m.-1:00 a.m.] Paraskefi: [6:00 p.m.-1:00 a.m.] Savvato: [6:00 p.m.-1:00 a.m.] Kyriaki: [6:00 p.m.-1:00 a.m.] Deftera: [6:00 p.m.-1:00 a.m.],chinese
11,Golden Dragon - Rio,Eleftherias 10 Rio 265 04,270.0,4.4,261 022 6226 +30 261 022 6226,,chinese
12,Asia club,Patreos Patra 262 21,77.0,4.5,,,chinese
13,Eataly,Ermou 30 Patra 262 21,2032.0,4.0,261 024 2640 +30 261 024 2640,Triti: [9:00 a.m.-12:00 a.m.] Tetarti: [9:00 a.m.-12:00 a.m.] Pempti: [9:00 a.m.-12:00 a.m.] Paraskefi: [9:00 a.m.-12:00 a.m.] Savvato: [9:00 a.m.-12:00 a.m.] Kyriaki: [9:00 a.m.-12:00 a.m.] Deftera: [9:00 a.m.-12:00 a.m.],chinese
14,Asian gold,Patreos Patra 262 21,,,,,chinese
15,ASIA&FOOD,Trion Nafarchon 70 Patra 262 22,65.0,4.8,261 181 2899 +30 261 181 2899,Triti: [12:00 p.m.-12:00 a.m.] Tetarti: [12:00 p.m.-12:00 a.m.] Pempti: [12:00 p.m.-12:00 a.m.] Paraskefi: [12:00 p.m.-12:00 a.m.] Savvato: [12:00 p.m.-12:00 a.m.] Kyriaki: [12:00 p.m.-12:00 a.m.] Deftera: [12:00 p.m.-12:00 a.m.],chinese
16,Soya-AsianCuisine,Agiou Andreou 100 Patra 262 21,73.0,4.8,261 401 6999 +30 261 401 6999,Triti: [12:00 p.m.-12:00 a.m.] Tetarti: [12:00 p.m.-12:00 a.m.] Pempti: [12:00 p.m.-12:00 a.m.] Paraskefi: [12:00 p.m.-12:00 a.m.] Savvato: [12:00 p.m.-12:00 a.m.] Kyriaki: [12:00 p.m.-12:00 a.m.] Deftera: [12:00 p.m.-12:00 a.m.],chinese
17,Kymino Mageireio - Estiatorio Mageirefta fagita Gipedo Panachaikis Patra,Patra 264 41,18.0,4.5,261 042 0296 +30 261 042 0296,Triti: [9:00 a.m.-6:00 p.m.] Tetarti: [9:00 a.m.-6:00 p.m.] Pempti: [9:00 a.m.-6:00 p.m.] Paraskefi: [9:00 a.m.-6:00 p.m.] Savvato: [9:00 a.m.-6:00 p.m.] Kyriaki: [Kleista] Deftera: [9:00 a.m.-6:00 p.m.],chinese
18,SamoSa The Asian Food,Gerokostopoulou 32 Patra 262 21,203.0,4.5,261 027 2775 +30 261 027 2775,Triti: [1:30 p.m.-12:00 a.m.] Tetarti: [1:30 p.m.-12:00 a.m.] Pempti: [1:30 p.m.-12:00 a.m.] Paraskefi: [1:30 p.m.-12:00 a.m.] Savvato: [1:30 p.m.-12:00 a.m.] Kyriaki: [1:30 p.m.-12:00 a.m.] Deftera: [Kleista],chinese
19,Sousouro,Navmachias Nafpaktou 66 Nafpaktos 303 00,1265.0,4.4,2634 025425 +30 2634 025425,Triti: [10:00 a.m.-12:00 a.m.] Tetarti: [10:00 a.m.-12:00 a.m.] Pempti: [10:00 a.m.-12:00 a.m.] Paraskefi: [10:00 a.m.-12:00 a.m.] Savvato: [10:00 a.m.-12:00 a.m.] Kyriaki: [10:00 a.m.-12:00 a.m.] Deftera: [10:00 a.m.-12:00 a.m.],chinese
20,Oneiro krepas,Korinthou 67 Patra 262 23,5.0,2.8,261 302 6405 +30 261 302 6405,Triti: [12:00 p.m.-4:00 a.m.] Tetarti: [12:00 p.m.-4:00 a.m.] Pempti: [12:00 p.m.-4:00 a.m.] Paraskefi: [12:00 p.m.-4:00 a.m.] Savvato: [12:00 p.m.-4:00 a.m.] Kyriaki: [12:00 p.m.-4:00 a.m.] Deftera: [12:00 p.m.-4:00 a.m.],crepes
21,Un reve de Crepe,Korinthou 65a Patra 262 23,4.0,5.0,,Triti: [Anoichto olo to 24oro] Tetarti: [Anoichto olo to 24oro] Pempti: [Anoichto olo to 24oro] Paraskefi: [Anoichto olo to 24oro] Savvato: [Anoichto olo to 24oro] Kyriaki: [Anoichto olo to 24oro] Deftera: [Anoichto olo to 24oro],crepes
22,Constantino Creperie,Pl. Geor. A 20 Patra 262 21,172.0,4.0,261 112 3623 +30 261 112 3623,Triti: [2:00 p.m.-4:00 a.m.] Tetarti: [2:00 p.m.-4:00 a.m.] Pempti: [2:00 p.m.-4:00 a.m.] Paraskefi: [2:00 p.m.-4:00 a.m.] Savvato: [2:00 p.m.-4:00 a.m.] Kyriaki: [2:00 p.m.-4:00 a.m.] Deftera: [2:00 p.m.-4:00 a.m.],crepes
23,Boxeat,Kolokotroni 16 Patra 262 21,202.0,4.6,261 110 4326 +30 261 110 4326,Triti: [6:00 p.m.-4:00 a.m.] Tetarti: [6:00 p.m.-4:00 a.m.] Pempti: [6:00 p.m.-4:00 a.m.] Paraskefi: [6:00 p.m.-5:00 a.m.] Savvato: [6:00 p.m.-5:00 a.m.] Kyriaki: [6:00 p.m.-4:00 a.m.] Deftera: [6:00 p.m.-4:00 a.m.],crepes
24,Batter Butlers,Pantanassis 9 Patra 262 21,1438.0,4.6,261 042 1010 +30 261 042 1010,Triti: [12:00 p.m.-2:00 a.m.] Tetarti: [12:00 p.m.-2:00 a.m.] Pempti: [12:00 p.m.-2:00 a.m.] Paraskefi: [12:00 p.m.-4:00 a.m.] Savvato: [12:00 p.m.-4:00 a.m.] Kyriaki: [12:00 p.m.-2:00 a.m.] Deftera: [12:00 p.m.-2:00 a.m.],crepes
25,Batter Butlers Agias Sofias,Navmachias Ellis 36A Patra 264 41,774.0,4.5,261 042 1010 +30 261 042 1010,Triti: [4:00 p.m.-2:00 a.m.] Tetarti: [4:00 p.m.-2:00 a.m.] Pempti: [4:00 p.m.-2:00 a.m.] Paraskefi: [4:00 p.m.-2:00 a.m.] Savvato: [4:00 p.m.-2:00 a.m.] Kyriaki: [4:00 p.m.-2:00 a.m.] Deftera: [4:00 p.m.-2:00 a.m.],crepes
26,Crepali,Norman 25 Patra 262 23,86.0,4.1,261 045 5534 +30 261 045 5534,Triti: [1:00 p.m.-1:30 a.m.] Tetarti: [1:00 p.m.-1:30 a.m.] Pempti: [1:00 p.m.-1:30 a.m.] Paraskefi: [1:00 p.m.-1:30 a.m.] Savvato: [1:00 p.m.-1:30 a.m.] Kyriaki: [1:00 p.m.-1:30 a.m.] Deftera: [1:00 p.m.-1:30 a.m.],crepes
27,FUEGO,Pl. Geor. A 50 Patra 262 21,9.0,3.8,261 022 5000 +30 261 022 5000,Triti: [8:00 a.m.-3:00 a.m.] Tetarti: [8:00 a.m.-3:00 a.m.] Pempti: [8:00 a.m.-3:00 a.m.] Paraskefi: [8:00 a.m.-3:00 a.m.] Savvato: [8:00 a.m.-3:00 a.m.] Kyriaki: [8:00 a.m.-3:00 a.m.] Deftera: [8:00 a.m.-3:00 a.m.],crepes
28,Bufala Gelato (Patra),Riga Feraiou 117 Patra 262 21,359.0,4.5,261 024 0400 +30 261 024 0400,Triti: [9:00 a.m.-2:00 a.m.] Tetarti: [9:00 a.m.-2:00 a.m.] Pempti: [9:00 a.m.-2:00 a.m.] Paraskefi: [9:00 a.m.-2:00 a.m.] Savvato: [9:00 a.m.-2:00 a.m.] Kyriaki: [9:00 a.m.-2:00 a.m.] Deftera: [9:00 a.m.-2:00 a.m.],crepes
29,Factory Flavours - Krepes bergker  salates  santouits,Gerokostopoulou 25 Patra 262 21,296.0,4.2,,,crepes
30,Delicious Taste,Riga Feraiou 51-55 Patra 262 21,231.0,3.9,261 024 0440 +30 261 024 0440,Triti: [Anoichto olo to 24oro] Tetarti: [Anoichto olo to 24oro] Pempti: [Anoichto olo to 24oro] Paraskefi: [Anoichto olo to 24oro] Savvato: [Anoichto olo to 24oro] Kyriaki: [Anoichto olo to 24oro] Deftera: [Anoichto olo to 24oro],food
31,Bro street food,Agiou Andreou 72 & Gerokostopoulou 2 Patra 262 21,15.0,5.0,261 600 0306 +30 261 600 0306,Triti: [10:00 a.m.-4:00 a.m.] Tetarti: [10:00 a.m.-4:00 a.m.] Pempti: [10:00 a.m.-4:00 a.m.] Paraskefi: [10:00 a.m.-4:00 a.m.] Savvato: [10:00 a.m.-4:00 a.m.] Kyriaki: [10:00 a.m.-4:00 a.m.] Deftera: [10:00 a.m.-4:00 a.m.],food
32,TOAST IT PATRA,Korinthou 295 Patra 262 21,1.0,5.0,261 401 2842 +30 261 401 2842,Triti: [9:30 a.m.-10:00 p.m.] Tetarti: [9:30 a.m.-10:00 p.m.] Pempti: [9:30 a.m.-10:00 p.m.] Paraskefi: [9:30 a.m.-10:00 p.m.] Savvato: [9:30 a.m.-10:00 p.m.] Kyriaki: [Kleista] Deftera: [9:30 a.m.-10:00 p.m.],food
33,Eataly,Ermou 30 Patra 262 21,2032.0,4.0,261 024 2640 +30 261 024 2640,Triti: [9:00 a.m.-12:00 a.m.] Tetarti: [9:00 a.m.-12:00 a.m.] Pempti: [9:00 a.m.-12:00 a.m.] Paraskefi: [9:00 a.m.-12:00 a.m.] Savvato: [9:00 a.m.-12:00 a.m.] Kyriaki: [9:00 a.m.-12:00 a.m.] Deftera: [9:00 a.m.-12:00 a.m.],food
34,FUEGO,Pl. Geor. A 50 Patra 262 21,9.0,3.8,261 022 5000 +30 261 022 5000,Triti: [8:00 a.m.-3:00 a.m.] Tetarti: [8:00 a.m.-3:00 a.m.] Pempti: [8:00 a.m.-3:00 a.m.] Paraskefi: [8:00 a.m.-3:00 a.m.] Savvato: [8:00 a.m.-3:00 a.m.] Kyriaki: [8:00 a.m.-3:00 a.m.] Deftera: [8:00 a.m.-3:00 a.m.],food
35,Talks,Pl. Ypsilon Alonion 25 Patra 262 24,1259.0,4.6,261 031 1322 +30 261 031 1322,Triti: [7:30 a.m.-2:00 a.m.] Tetarti: [7:30 a.m.-2:00 a.m.] Pempti: [7:30 a.m.-2:00 a.m.] Paraskefi: [7:30 a.m.-2:00 a.m.] Savvato: [8:00 a.m.-2:00 a.m.] Kyriaki: [8:00 a.m.-2:00 a.m.] Deftera: [7:30 a.m.-2:00 a.m.],food
36,Tip Top,Dim. Gounari 223 Patra 262 26,158.0,4.7,261 062 3714 +30 261 062 3714,Triti: [8:00 a.m.-11:30 p.m.] Tetarti: [8:00 a.m.-11:30 p.m.] Pempti: [8:00 a.m.-11:30 p.m.] Paraskefi: [8:00 a.m.-11:30 p.m.] Savvato: [8:00 a.m.-11:30 p.m.] Kyriaki: [6:00-11:30 p.m.] Deftera: [8:00 a.m.-11:30 p.m.],food
37,Mangiare,Pl. Ypsilon Alonion 28 Patra 262 24,522.0,4.2,261 033 3177 +30 261 033 3177,Triti: [7:00 a.m.-5:00 a.m.] Tetarti: [7:00 a.m.-5:00 a.m.] Pempti: [7:00 a.m.-12:00 a.m.] Paraskefi: [Anoichto olo to 24oro] Savvato: [Anoichto olo to 24oro] Kyriaki: [7:00 a.m.-5:00 a.m.] Deftera: [7:00 a.m.-5:00 a.m.],food
38,Gefsi,Ellinos Stratiotou 50 Patra 264 41,266.0,4.2,261 045 1397 +30 261 045 1397,Triti: [9:30 a.m.-1:00 a.m.] Tetarti: [9:30 a.m.-1:00 a.m.] Pempti: [9:30 a.m.-1:00 a.m.] Paraskefi: [9:30 a.m.-1:00 a.m.] Savvato: [9:30 a.m.-1:00 a.m.] Kyriaki: [5:00 p.m.-1:00 a.m.] Deftera: [9:30 a.m.-1:00 a.m.],food
39,McDonald's,Patra 262 21,81.0,3.3,21 0687 3100 +30 21 0687 3100,Triti: [Anoichto olo to 24oro] Tetarti: [Anoichto olo to 24oro] Pempti: [Anoichto olo to 24oro] Paraskefi: [Anoichto olo to 24oro] Savvato: [Anoichto olo to 24oro] Kyriaki: [Anoichto olo to 24oro] Deftera: [Anoichto olo to 24oro],food
40,To Koutouki,Partheniou 33 Patra 262 25,4.0,4.8,,,greek
41,Adonis,Pl. Ypsilon Alonion 12 Patra 262 24,252.0,4.4,261 033 3567 +30 261 033 3567,Triti: [8:00 a.m.-1:00 a.m.] Tetarti: [8:00 a.m.-1:00 a.m.] Pempti: [8:00 a.m.-1:00 a.m.] Paraskefi: [8:00 a.m.-1:00 a.m.] Savvato: [8:00 a.m.-1:00 a.m.] Kyriaki: [8:00 a.m.-1:00 a.m.] Deftera: [8:00 a.m.-1:00 a.m.],greek
42,Achilleion,Pantanassis 54 Patra 262 21,368.0,4.6,261 027 1522 +30 261 027 1522,Triti: [8:00 a.m.-6:00 p.m.] Tetarti: [8:00 a.m.-6:00 p.m.] Pempti: [8:00 a.m.-6:00 p.m.] Paraskefi: [8:00 a.m.-6:00 p.m.] Savvato: [8:00 a.m.-6:00 p.m.] Kyriaki: [Kleista] Deftera: [8:00 a.m.-6:00 p.m.],greek
43,Maravelas Estiatorio,Monis Girokomeiou 60 Patra 265 00,634.0,4.5,261 027 5901 +30 261 027 5901,Triti: [Kleista] Tetarti: [Kleista] Pempti: [Kleista] Paraskefi: [6:00 p.m.-12:00 a.m.] Savvato: [9:00 a.m.-12:00 a.m.] Kyriaki: [9:00 a.m.-11:30 p.m.] Deftera: [Kleista],greek
44,Terra,Kanari kai Riga Feraiou Patra 262 21,760.0,4.5,261 031 3000 +30 261 031 3000,Triti: [8:00 a.m.-1:00 a.m.] Tetarti: [8:00 a.m.-1:00 a.m.] Pempti: [8:00 a.m.-1:00 a.m.] Paraskefi: [8:00 a.m.-1:00 a.m.] Savvato: [8:30 a.m.-1:00 a.m.] Kyriaki: [Kleista] Deftera: [8:00 a.m.-1:00 a.m.],greek
45,Troufa,Patreos 83 Patra 262 25,138.0,4.4,261 062 3717 +30 261 062 3717,Triti: [8:00 a.m.-12:00 a.m.] Tetarti: [8:00 a.m.-12:00 a.m.] Pempti: [8:00 a.m.-12:00 a.m.] Paraskefi: [8:00 a.m.-12:00 a.m.] Savvato: [8:00 a.m.-12:00 a.m.] Kyriaki: [10:00 a.m.-7:00 p.m.] Deftera: [Kleista],greek
46,PORTO FINO KOUZINA,Ellinos Stratiotou 13 Patra 262 23,359.0,4.3,261 043 4434 +30 261 043 4434,Triti: [11:30 a.m.-12:30 a.m.] Tetarti: [11:30 a.m.-12:30 a.m.] Pempti: [11:30 a.m.-12:30 a.m.] Paraskefi: [11:30 a.m.-12:30 a.m.] Savvato: [11:30 a.m.-12:30 a.m.] Kyriaki: [11:00 a.m.-12:30 a.m.] Deftera: [11:30 a.m.-12:30 a.m.],greek
47,Santa Rosa,Agiou Dionysiou 23-25 Patra 262 23,1160.0,4.4,261 043 3742 +30 261 043 3742,Triti: [8:00 a.m.-2:00 a.m.] Tetarti: [8:00 a.m.-2:00 a.m.] Pempti: [8:00 a.m.-2:00 a.m.] Paraskefi: [8:00 a.m.-2:00 a.m.] Savvato: [8:00 a.m.-2:00 a.m.] Kyriaki: [8:00 a.m.-2:00 a.m.] Deftera: [8:00 a.m.-2:00 a.m.],greek
48,Yami Yami,Riga Feraiou 3 Patra 262 23,8.0,2.9,261 027 0399 +30 261 027 0399,Triti: [11:00 a.m.-7:00 p.m.] Tetarti: [11:00 a.m.-7:00 p.m.] Pempti: [11:00 a.m.-7:00 p.m.] Paraskefi: [11:00 a.m.-7:00 p.m.] Savvato: [11:00 a.m.-7:00 p.m.] Kyriaki: [11:00 a.m.-7:00 p.m.] Deftera: [11:00 a.m.-7:00 p.m.],greek
49,apiko Mezedotechneio,Sismani 14 Nafpaktos 303 00,999.0,4.7,2634 306927 +30 2634 306927,Triti: [12:00 p.m.-12:00 a.m.] Tetarti: [12:00 p.m.-12:00 a.m.] Pempti: [12:00 p.m.-12:00 a.m.] Paraskefi: [12:00 p.m.-12:00 a.m.] Savvato: [12:00 p.m.-12:00 a.m.] Kyriaki: [12:00 p.m.-12:00 a.m.] Deftera: [12:00 p.m.-12:00 a.m.],greek
50,Menodiciotto,Gerokostopoulou 20 Patra 262 21,373.0,4.6,261 000 9686 +30 261 000 9686,Triti: [8:00 a.m.-2:00 a.m.] Tetarti: [8:00 a.m.-2:00 a.m.] Pempti: [8:00 a.m.-2:00 a.m.] Paraskefi: [8:00 a.m.-2:00 a.m.] Savvato: [8:00 a.m.-2:00 a.m.] Kyriaki: [8:00 a.m.-2:00 a.m.] Deftera: [8:00 a.m.-2:00 a.m.],ice-cream
51,Bufala Gelato (Patra),Riga Feraiou 117 Patra 262 21,359.0,4.5,261 024 0400 +30 261 024 0400,Triti: [9:00 a.m.-2:00 a.m.] Tetarti: [9:00 a.m.-2:00 a.m.] Pempti: [9:00 a.m.-2:00 a.m.] Paraskefi: [9:00 a.m.-2:00 a.m.] Savvato: [9:00 a.m.-2:00 a.m.] Kyriaki: [9:00 a.m.-2:00 a.m.] Deftera: [9:00 a.m.-2:00 a.m.],ice-cream
52,geLatino,Trion Nafarchon 29 Patra 262 22,394.0,4.7,697 794 2127 +30 697 794 2127,Triti: [7:00-11:00 p.m.] Tetarti: [7:00-11:00 p.m.] Pempti: [7:00-11:00 p.m.] Paraskefi: [6:00 p.m.-1:00 a.m.] Savvato: [6:00 p.m.-1:00 a.m.] Kyriaki: [6:00 p.m.-12:30 a.m.] Deftera: [7:00-11:00 p.m.],ice-cream
53,Dimitriou Gelateria,Trion Nafarchon 42-44 Patra 262 22,244.0,4.7,261 032 1599 +30 261 032 1599,Triti: [12:00 p.m.-2:00 a.m.] Tetarti: [12:00 p.m.-2:00 a.m.] Pempti: [12:00 p.m.-2:00 a.m.] Paraskefi: [12:00 p.m.-2:00 a.m.] Savvato: [12:00 p.m.-3:00 a.m.] Kyriaki: [11:00 a.m.-2:00 a.m.] Deftera: [12:00 p.m.-2:00 a.m.],ice-cream
54,CHOCOMARE,Maizonos 28 Patra 262 23,45.0,4.7,261 301 5009 +30 261 301 5009,Triti: [3:00 p.m.-1:00 a.m.] Tetarti: [3:00 p.m.-1:00 a.m.] Pempti: [3:00 p.m.-1:00 a.m.] Paraskefi: [3:00 p.m.-1:00 a.m.] Savvato: [3:00 p.m.-1:00 a.m.] Kyriaki: [3:00 p.m.-1:00 a.m.] Deftera: [3:00 p.m.-1:00 a.m.],ice-cream
55,GIOVA GELATO,Pl. Geor. A 18 Patra 262 21,93.0,4.9,261 022 0596 +30 261 022 0596,Triti: [9:00 a.m.-2:00 a.m.] Tetarti: [9:00 a.m.-2:00 a.m.] Pempti: [9:00 a.m.-2:00 a.m.] Paraskefi: [9:00 a.m.-2:00 a.m.] Savvato: [9:00 a.m.-2:00 a.m.] Kyriaki: [9:00 a.m.-2:00 a.m.] Deftera: [9:00 a.m.-2:00 a.m.],ice-cream
56,Meno 18,Gerokostopoulou 18 Patra 262 21,22.0,4.7,,,ice-cream
57,Gelato Italiano,Emmanouil Benaki 12 Patra 264 43,28.0,4.9,694 425 6635 +30 694 425 6635,Triti: [3:00-10:00 p.m.] Tetarti: [3:00-10:00 p.m.] Pempti: [3:00-10:00 p.m.] Paraskefi: [3:00-10:00 p.m.] Savvato: [3:00-10:00 p.m.] Kyriaki: [3:00-10:00 p.m.] Deftera: [3:00-10:00 p.m.],ice-cream
58,GKITSI CHRYSOULA,Ionias 52 Patra 262 24,218.0,4.5,261 032 5351 +30 261 032 5351,Triti: [7:00 a.m.-12:00 a.m.] Tetarti: [7:00 a.m.-12:00 a.m.] Pempti: [7:00 a.m.-12:00 a.m.] Paraskefi: [6:30 a.m.-12:30 a.m.] Savvato: [6:30 a.m.-12:30 a.m.] Kyriaki: [7:30 a.m.-12:30 a.m.] Deftera: [6:30 a.m.-12:00 a.m.],ice-cream
59,Xoriatiko,Gerokostopoulou 21 Patra 262 21,2.0,3.5,,,ice-cream
60,Eataly,Ermou 30 Patra 262 21,2032.0,4.0,261 024 2640 +30 261 024 2640,Triti: [9:00 a.m.-12:00 a.m.] Tetarti: [9:00 a.m.-12:00 a.m.] Pempti: [9:00 a.m.-12:00 a.m.] Paraskefi: [9:00 a.m.-12:00 a.m.] Savvato: [9:00 a.m.-12:00 a.m.] Kyriaki: [9:00 a.m.-12:00 a.m.] Deftera: [9:00 a.m.-12:00 a.m.],italian
61,Salumeria,Pantanassis 27 Patra 262 21,2005.0,4.6,261 022 5930 +30 261 022 5930,Triti: [12:00 p.m.-1:00 a.m.] Tetarti: [12:00 p.m.-1:00 a.m.] Pempti: [12:00 p.m.-1:00 a.m.] Paraskefi: [12:00 p.m.-1:00 a.m.] Savvato: [12:00 p.m.-1:00 a.m.] Kyriaki: [12:00 p.m.-1:00 a.m.] Deftera: [12:00 p.m.-1:00 a.m.],italian
62,Santa Rosa,Agiou Dionysiou 23-25 Patra 262 23,1160.0,4.4,261 043 3742 +30 261 043 3742,Triti: [8:00 a.m.-2:00 a.m.] Tetarti: [8:00 a.m.-2:00 a.m.] Pempti: [8:00 a.m.-2:00 a.m.] Paraskefi: [8:00 a.m.-2:00 a.m.] Savvato: [8:00 a.m.-2:00 a.m.] Kyriaki: [8:00 a.m.-2:00 a.m.] Deftera: [8:00 a.m.-2:00 a.m.],italian
63,Bianco,Riga Feraiou 148-150 Patra 262 22,552.0,4.6,261 033 1009 +30 261 033 1009,Triti: [7:00 a.m.-2:00 a.m.] Tetarti: [7:00 a.m.-2:00 a.m.] Pempti: [7:00 a.m.-2:00 a.m.] Paraskefi: [7:00 a.m.-2:00 a.m.] Savvato: [7:00 a.m.-2:00 a.m.] Kyriaki: [7:00 a.m.-2:00 a.m.] Deftera: [7:00 a.m.-2:00 a.m.],italian
64,Bodegas,Riga Feraiou 147 Patra 262 21,2091.0,4.4,261 022 1113 +30 261 022 1113,Triti: [7:00 a.m.-5:00 a.m.] Tetarti: [7:00 a.m.-5:00 a.m.] Pempti: [7:00 a.m.-5:00 a.m.] Paraskefi: [7:00 a.m.-5:00 a.m.] Savvato: [7:00 a.m.-5:00 a.m.] Kyriaki: [7:00 a.m.-5:00 a.m.] Deftera: [7:00 a.m.-5:00 a.m.],italian
65,Carousello,Patreos 22 Patra 262 21,2335.0,4.5,261 400 7536 +30 261 400 7536,Triti: [7:30 a.m.-4:00 a.m.] Tetarti: [7:30 a.m.-4:00 a.m.] Pempti: [7:30 a.m.-4:00 a.m.] Paraskefi: [7:30 a.m.-4:00 a.m.] Savvato: [7:30 a.m.-4:00 a.m.] Kyriaki: [7:30 a.m.-4:00 a.m.] Deftera: [7:30 a.m.-4:00 a.m.],italian
66,Toti Coffee Rio,Poseidonos 11 Rio 265 04,22.0,4.0,261 099 5780 +30 261 099 5780,Triti: [9:00 a.m.-1:00 a.m.] Tetarti: [9:00 a.m.-1:00 a.m.] Pempti: [9:00 a.m.-1:00 a.m.] Paraskefi: [9:00 a.m.-1:00 a.m.] Savvato: [9:00 a.m.-1:00 a.m.] Kyriaki: [9:00 a.m.-1:00 a.m.] Deftera: [9:00 a.m.-1:00 a.m.],italian
